around_restaurant_No,around_restaurant_average_price,bus_station_No,busline_No,competitor_No,estate_average_price,group,real_estate_No,shopping_mall_No,transportation_subway_No,uid,university_No
24,92.721,5,26,1,63621.026,1,424,0,0,6e2a16c06db3342af32d83fd,46
22,32.143,4,21,2,58479.512,1,386,0,0,e524a96b9b1eac2e902ca351,47
96,47.672,2,17,7,58352.603,1,443,0,2,62850451a43047be9ff77902,52
134,41.693,2,17,8,57195.328,1,412,0,2,6cfa34116457d8d4f82d616e,47
121,39.208,2,17,8,57535.793,1,380,0,1,bba87388f34a51b9bca82201,48
69,35.176,0,0,3,59337.567,1,371,0,0,d24e48eb047d53adaeee7a97,52
93,47.348,2,17,7,58772.703,1,454,0,2,0d3ea70587b612db0f0e6bb2,52
52,38.158,4,37,7,57965.565,1,463,0,2,89fd4ea303776d5ee5e96571,55
75,51.369,2,17,7,59195.421,1,482,0,2,28f7c2d4c4d48416047ce86d,51
51,38.996,4,37,7,57965.565,1,459,0,2,c7312db8b8154133c41e5179,55
36,32.75,2,18,5,53865.476,1,425,0,1,05dd7d5f2d814a18ad080f6d,58
6,32.807,4,21,5,58614.287,1,583,0,0,7bfa08fc52e1396624d2bbbe,51
32,40.789,2,9,7,58100.434,1,575,0,0,8cba4bb096616b9dad045703,51
25,46.769,5,19,6,60505.572,1,728,0,0,306f7ea1962f6cfc88b9887e,37
21,34.723,4,25,8,59927.119,1,623,0,0,00586108e23456d847e274ba,43
29,40.715,2,9,7,57927.099,1,587,0,0,b869469578e4c728ff0eb04f,50
13,30.083,2,12,6,59345.321,1,597,0,0,d4034eb36778d8efc13644ac,36
37,50.423,5,19,4,59978.548,1,683,0,0,7d36721ad426926fe6e965ac,38
34,54.575,5,19,4,60323.706,1,702,0,0,14076dee34831aed02294f6c,38
24,37.463,4,25,8,60359.969,1,625,0,0,69fcd6df9fde7a36cb291599,43
25,46.769,5,19,6,60431.891,1,723,0,0,68bbc63119d8da6b932ca3bf,37
34,33.96,5,46,3,56817.256,1,588,0,0,e371fae396d88eec601c671d,29
84,38.502,6,20,10,58060.709,1,561,0,0,549c51e7a8830f55df1e52ac,33
76,37.412,5,16,9,56832.027,1,514,0,0,84e5b83ee362241843afe66e,31
34,47.572,6,43,10,56869.699,1,572,0,0,951a84d183760ae8c909f0ce,29
54,41.349,6,35,10,58015.178,1,569,0,0,606ab0d032a6c4330f3ddaa4,33
80,36.984,6,24,11,57724.876,1,541,0,0,c21db9e5cbd1c29a00ff2d53,31
85,39.08,6,20,10,58060.709,1,563,0,0,7c51e080cf1952eaf11937a7,33
54,41.349,6,35,10,58015.178,1,569,0,0,5408b45f2440ee5472210bb1,33
82,37.651,6,24,10,58163.858,1,542,0,0,b9e5d0b8aaaacfa581a12e67,33
33,45.325,8,53,10,57400.805,1,576,0,0,bc37aa899ca7c7c1ab059d02,29
80,37.569,6,24,10,57666.006,1,535,0,0,88fa92b94b6177fadf1e52e2,31
32,34.332,4,10,7,55633.646,1,513,0,0,31ac78731bbe51ff4d776e80,30
34,35.282,3,3,3,56781.943,1,572,0,0,a8bbb41a0d423c8bc356ac0e,23
31,36.842,5,18,5,60568.25,1,551,0,0,d65b1bdd8e3fe4f3fd0eb04e,25
68,23.61,6,39,5,53893.518,1,513,0,0,e5c524a34e098f9edc1e5291,31
42,40.431,3,3,3,57568.473,1,573,0,0,b0bd3840b13341f4f8dc85a4,25
28,40.353,5,18,4,58871.858,1,553,0,0,502d0fe5a0b66b992902e166,27
